source,target
"Well, I think there are about three reasons: technical jobs so critical to the development of our economies, what I call ""everyday living"" -- to function in the world today, you've got to be pretty quantitative, much more so than a few years ago: figure out your mortgages, being skeptical of government statistics, those kinds of things -- and thirdly, what I would call something like logical mind training, logical thinking.","Tôi nghĩ là có 3 lý do: các công việc kĩ thuật trở nên thiết yếu trong việc phát triển kinh tế, cái mà tôi gọi là kiếm sống hằng ngày. Để hoạt động trong thế giới ngày nay, bạn phải khá giỏi về định lượng, nhiều hơn hẳn so với vài năm trước. Những thứ như: tính ra nợ tiền nhà, hay nghi ngờ thống kê của chính phủ. Và điều thứ ba, cái tôi gọi là rèn luyện logic cho trí óc, suy nghĩ logic."
Over the years we've put so much in society into being able to process and think logically. It's part of human society.,Qua nhiều năm trong xã hội chúng ta đã nhấn mạnh vào việc có thể xử lý và suy nghĩ theo logic; đó là một phần của xã hội con người.
It's very important to learn that math is a great way to do that.,Rất là quan trọng để học được điều đó. Toán học là một cách tuyệt vời để làm điều đó.
So let's ask another question.,Vậy thì hãy đặt một câu hỏi khác.
What is math?,Toán học là gì?
"What do we mean when we say we're doing math, or educating people to do math?","Ý chúng ta là gì khi nói rằng chúng ta đang làm toán, hoặc dạy người khác làm toán?"
"Well, I think it's about four steps, roughly speaking, starting with posing the right question.","Tôi nghĩ rằng nó có đại khái là 4 bước, bắt đầu với việc đặt ra câu hỏi đúng."
What is it that we want to ask? What is it we're trying to find out here?,Cái ta muốn hỏi là gì? Ta đang cố khám phá gì ở đây?
"And this is the thing most screwed up in the outside world, beyond virtually any other part of doing math.","Và đây chính là thứ sai lầm nhất ở thế giới ngoài kia, hầu như ngoài tầm của các phần khác của toán học."
"People ask the wrong question, and surprisingly enough, they get the wrong answer, for that reason, if not for others.","Người ta đặt ra câu hỏi sai, và không có gì ngạc nhiên, họ nhận được câu trả lời sai là vì lý do đó chứ không phải cái gì khác."
So the next thing is take that problem and turn it from a real world problem into a math problem.,Thế thì cái tiếp theo là lấy vấn đề đó và chuyển nó từ một vấn đề của đời thật thành một vấn đề trong toán.
That's stage two.,Đó là giai đoạn thứ hai.
"Once you've done that, then there's the computation step.","Một khi làm được điều này, thì sẽ đến bước tính toán."
Turn it from that into some answer in a mathematical form.,Để đưa nó thành một câu trả lời gì đó ở dưới dạng toán học.
"And of course, math is very powerful at doing that.","Và đương nhiên, toán học thì rất mạnh để làm chuyện đó."
"And then finally, turn it back to the real world.","Và cuối cùng, chuyển nó về lại đời thật."
Did it answer the question?,Nó có trả lời được câu hỏi không?
And also verify it -- crucial step.,Và cũng kiểm chứng nó -- đó là bước rất quan trọng
Now here's the crazy thing right now.,Bây giờ là thứ điên khùng nhất ngay đây.
"In math education, we're spending about perhaps 80 percent of the time teaching people to do step three by hand.","Trong việc dạy toán, chúng ta bỏ ra cỡ 80% thời gian để dạy người ta cách làm bước thứ ba bằng tay."
"Yet, that's the one step computers can do better than any human after years of practice.",Nhưng mà đó là bước mà máy tính có thể làm tốt hơn bất cứ ai dù với nhiều năm thực hành.
"Instead, we ought to be using computers to do step three and using the students to spend much more effort on learning how to do steps one, two and four -- conceptualizing problems, applying them, getting the teacher to run them through how to do that.","Thay vào đó, chúng ta phải sử dụng máy tính để làm bước thứ ba và để học sinh ra sức hơn vào việc học cách làm bước một, hai và bốn -- khái niệm hóa vấn đề, ứng dụng chúng, buộc giáo viên phải dạy học sinh cách làm."
"See, crucial point here: math is not equal to calculating.","Nhìn xem, điểm mấu chốt là ở đây: toán học không đồng nghĩa với làm tính."
Math is a much broader subject than calculating.,Toán là một môn học rộng hơn nhiều so với chuyện làm tính.
Now it's understandable that this has all got intertwined over hundreds of years.,Có thể hiểu được rằng hai thứ đã quấn chặt lấy nhau qua hàng trăm năm.
There was only one way to do calculating and that was by hand.,Chỉ có một cách để làm tính là dùng tay.
But in the last few decades that has totally changed.,Nhưng trong vài thập kỉ vừa qua điều này đã hoàn toàn thay đổi.
We've had the biggest transformation of any ancient subject that I could ever imagine with computers.,Chúng ta đã có được một sự biến đổi lớn nhất trên một môn học cổ xưa mà tôi có thể tưởng tượng được bằng máy tính.
"Calculating was typically the limiting step, and now often it isn't.",Làm tính thường hay là nơi nghẽn cổ chai và bây giờ không còn như vậy nữa.
So I think in terms of the fact that math has been liberated from calculating.,Vì vậy tôi nghĩ là toán học đã được giải phóng khỏi việc làm tính.
But that math liberation didn't get into education yet.,Nhưng sự giải phóng này chưa đi được vào giáo dục.
"See, I think of calculating, in a sense, as the machinery of math.","Nhìn đây, tôi nghĩ rằng làm tính theo nghĩa nào đó là bộ máy của toán học."
It's the chore.,Nó là việc lặt vặt.
"It's the thing you'd like to avoid if you can, like to get a machine to do.","Là thứ bạn muốn tránh nếu được, giống như là nhường cho máy móc."
"It's a means to an end, not an end in itself, and automation allows us to have that machinery.","Nó là công cụ đi đến mục tiêu, chứ không phải là mục tiêu. Và tự động hóa cho phép chúng ta có được bộ máy đó."
Computers allow us to do that -- and this is not a small problem by any means.,Máy tính cho phép chúng ta làm việc đó. Và đây không phải là một vấn đề nhỏ nhặt theo bất kỳ nghĩa nào.
"I estimated that, just today, across the world, we spent about 106 average world lifetimes teaching people how to calculate by hand.","Tôi ước tính rằng, chỉ trong ngày hôm nay trên toàn thế giới, chúng ta bỏ ra trung bình 106 thời gian của đời người để dạy người ta cách tính tay."
That's an amazing amount of human endeavor.,Đó là một nỗ lực đáng kinh ngạc của nhân loại.
"So we better be damn sure -- and by the way, they didn't even have fun doing it, most of them -- so we better be damn sure that we know why we're doing that and it has a real purpose.","Cho nên ta phải thật chắc chắn -- nói thêm là, hầu như mọi người thậm chí còn không thấy vui khi làm tính. Cho nên ta phải thật chắc chắn là chúng ta biết tại sao lại làm chuyện đó và nó có một mục đích thật sự."
I think we should be assuming computers for doing the calculating and only doing hand calculations where it really makes sense to teach people that.,Tôi nghĩ rằng chúng ta nên giao việc tính toán cho máy tính và chỉ tính tay khi việc học tính tay thật sự có lý.
And I think there are some cases.,Và tôi nghĩ rằng có những trường hợp.
For example: mental arithmetic.,Ví dụ như là tính nhẩm.
"I still do a lot of that, mainly for estimating.","Tôi vẫn tính nhẩm rất nhiều, chủ yếu để ước lượng."
"People say, ""Is such and such true?""","Khi có ai nói, chuyện này chuyện kia là đúng,"
"And I'll say, ""Hmm, not sure."" I'll think about it roughly.","thì tôi sẽ nói, hừm, chưa chắc. Để tôi ước lượng coi."
It's still quicker to do that and more practical.,Làm vậy vẫn nhanh hơn và thực tế hơn.
So I think practicality is one case where it's worth teaching people by hand.,Nên tôi nghĩ rằng tính thiết thực là một trường hợp đáng để dạy người ta tính tay.
"And then there are certain conceptual things that can also benefit from hand calculating, but I think they're relatively small in number.","Và rồi có những khái niệm nhất định có thể hưởng lợi từ việc tính tay, nhưng tôi nghĩ nhưng việc này tương đối ít."
One thing I often ask about is ancient Greek and how this relates.,Một việc mà tôi thường hay hỏi đến là tiếng Hy Lạp cổ và cách nó liên quan tới chủ đề.
"See, the thing we're doing right now is we're forcing people to learn mathematics.","Nhìn xem, cái mà chúng ta làm bây giờ, là bắt mọi người học toán."
It's a major subject.,Nó là một môn chính.
"I'm not for one minute suggesting that, if people are interested in hand calculating or in following their own interests in any subject however bizarre -- they should do that.","Và tôi không có đề nghị rằng, nếu người ta quan tâm đến tính tay hay là theo đuổi sở thích cá nhân với bất kỳ môn học dù có kì lạ đến đâu -- họ nên làm điều đó."
"That's absolutely the right thing, for people to follow their self-interest.","Chuyện đó hoàn toàn đúng, khi người ta theo đuổi sở thích cá nhân."
"I was somewhat interested in ancient Greek, but I don't think that we should force the entire population to learn a subject like ancient Greek.","Tôi khá là quan tâm đến tiếng Hy Lạp cổ, nhưng tôi không nghĩ rằng chúng ta nên ép buộc toàn bộ dân số học một môn như tiếng Hy Lạp cổ."
I don't think it's warranted.,Tôi không nghĩ rằng làm vậy là đúng.
"So I have this distinction between what we're making people do and the subject that's sort of mainstream and the subject that, in a sense, people might follow with their own interest and perhaps even be spiked into doing that.",Cho nên tôi có sự tách biệt giữa cái mà chúng ta khiến người khác làm và môn học thuộc dòng chính và môn học mà cá nhân người ta theo đuổi và có lẽ còn được khuyến khích để làm việc đó.
So what are the issues people bring up with this?,Thế thì những vấn đề gì nảy sinh?
"Well one of them is, they say, you need to get the basics first.",Một trong số đó là bạn cần có kiến thức cơ bản trước nhất.
You shouldn't use the machine until you get the basics of the subject.,Bạn không nên sử dụng máy móc cho đến khi bạn có những kiến thức cơ bản của môn học.
"So my usual question is, what do you mean by ""basics?""","Vậy thì câu mà tôi hay hỏi là, ý bạn nói cơ bản là thế nào?"
Basics of what?,Cơ bản của cái gì?
"Are the basics of driving a car learning how to service it, or design it for that matter?","Có phải vấn đề cơ bản của việc lái xe là học cách chăm sóc nó, hay là thiết kế nó?"
Are the basics of writing learning how to sharpen a quill?,Có phải những thứ cơ bản của việc viết là gọt bút?
I don't think so.,Tôi không nghĩ như vậy.
I think you need to separate the basics of what you're trying to do from how it gets done and the machinery of how it gets done and automation allows you to make that separation.,Tôi nghĩ rằng bạn cần phân biệt giữa kiến thức cơ bản của việc bạn muốn làm với lại cách thực hiện và công cụ để thực hiện. Và việc tự động hóa cho phép bạn tạo sự phân biệt đó.
"A hundred years ago, it's certainly true that to drive a car you kind of needed to know a lot about the mechanics of the car and how the ignition timing worked and all sorts of things.","Một trăm năm về trước, chắc chắn là nếu muốn lái xe bạn phải biết nhiều thứ về cơ khí của xe và cách khởi động cũng như các thứ khác."
"But automation in cars allowed that to separate, so driving is now a quite separate subject, so to speak, from engineering of the car or learning how to service it.","Nhưng việc tự động hóa của xe hơi đã cho phép tách biệt, khiến cho lái xe bây giờ là một thứ hoàn toàn riêng biệt, có thể nói vậy, với việc chế tạo chiếc xe hay là học cách chăm sóc nó."
"So automation allows this separation and also allows -- in the case of driving, and I believe also in the future case of maths -- a democratized way of doing that.","Thế thì tự động hóa cho phép sự tách biệt này và cũng cho phép -- trong trường hợp lái xe, và tôi tin rằng cũng như đối với toán học trong tương lai -- một sự dân chủ hóa trong cách làm."
It can be spread across a much larger number of people who can really work with that.,Nó có thể được phổ biến cho rất nhiều người có thể thật sự làm được.
So there's another thing that comes up with basics.,Thế thì có một thứ khác nảy sinh với kiến thức cơ bản.
"People confuse, in my view, the order of the invention of the tools with the order in which they should use them for teaching.",Theo tôi thì người ta lầm lẫn thứ tự của việc phát minh ra công cụ và thứ tự của việc dùng chúng trong giảng dạy.
"So just because paper was invented before computers, it doesn't necessarily mean you get more to the basics of the subject by using paper instead of a computer to teach mathematics.","Thế thì nếu chỉ vì giấy được phát minh trước máy tính, nó không nhất thiết có nghĩa là bạn sẽ hiểu những điều cơ bản của môn học nhiều hơn nhờ vào giấy thay vì máy tính để giảng dạy toán học."
My daughter gave me a rather nice anecdote on this.,Con gái tôi mang đến một giai thoại khá hay về chuyện này.
"She enjoys making what she calls ""paper laptops.""",Cháu rất thích làm thứ mà cháu gọi là máy tính xách tay bằng giấy.
"(Laughter) So I asked her one day, ""You know, when I was your age, I didn't make these.","(Cười) Thế là một hôm tôi hỏi nó, ""Con biết không, khi ba cỡ tuổi con, Ba đâu có làm mấy thứ này."
"Why do you think that was?""","Con biết tại sao không?"""
"And after a second or two, carefully reflecting, she said, ""No paper?""","Và sau một hai giây suy tư cẩn thận, cháu nói, ""Không có giấy?"""
"(Laughter) If you were born after computers and paper, it doesn't really matter which order you're taught with them in, you just want to have the best tool.","(Cười) Nếu bạn sinh ra sau khi có máy tính và giấy, việc bạn sử dụng chúng theo thứ tự nào vào học tập thật ra không ảnh hưởng đâu, bạn chỉ muốn có công cụ tốt nhất."
"So another one that comes up is ""Computers dumb math down.""","Vậy có một thứ khác nữa là ""máy tính làm cho toán quá đơn giản."""
"That somehow, if you use a computer, it's all mindless button-pushing, but if you do it by hand, it's all intellectual.","Cứ như là nếu bạn sử dụng máy tính thì chỉ là bấm nút mà không suy nghĩ, nhưng nếu làm bằng tay thì rất trí tuệ."
"This one kind of annoys me, I must say.",Tôi phải nói đó là thứ làm tôi khó chịu.
"Do we really believe that the math that most people are doing in school practically today is more than applying procedures to problems they don't really understand, for reasons they don't get?","Liệu chúng ta có thật sự tin rằng môn toán mà hầu hết đang thực hành trong trường hôm nay sâu sắc hơn việc áp dụng các quy trình cho các vấn đề mà họ không thật sự hiểu, cho những lý do họ không biết?"
I don't think so.,Tôi không nghĩ vậy.
"And what's worse, what they're learning there isn't even practically useful anymore.","Tệ hơn nữa, cái mà họ đang học ở đó không còn hữu dụng trong thực tế nữa."
"Might have been 50 years ago, but it isn't anymore.","Có lẽ đã từng như vậy 50 năm trước, nhưng giờ thì không."
"When they're out of education, they do it on a computer.","Khi học xong, họ sẽ làm toán trên máy tính."
"Just to be clear, I think computers can really help with this problem, actually make it more conceptual.","Để cho rõ, tôi nghĩ máy tính có thể thật sự giúp giải quyết vấn đề, thật sự là khái niệm hóa nó hơn."
"Now, of course, like any great tool, they can be used completely mindlessly, like turning everything into a multimedia show, like the example I was shown of solving an equation by hand, where the computer was the teacher -- show the student how to manipulate and solve it by hand.","Dĩ nhiên, như là mọi công cụ tốt khác nó có thể bị dùng một cách hoàn toàn thiếu suy nghĩ, như là biến mọi thứ thành show multimedia, giống như ví dụ mà tôi đã từng thấy trong đó máy tính là thầy giáo -- chỉ cho học sinh cách thao tác và giải toán bằng tay."
This is just nuts.,Thật là điên.
Why are we using computers to show a student how to solve a problem by hand that the computer should be doing anyway?,Tại sao chúng ta dùng máy tính để chỉ cho học sinh cách giải tay bài toán mà dù gì máy tính cũng làm?
All backwards.,Thật là tụt hậu.
Let me show you that you can also make problems harder to calculate.,Để tôi chỉ cho bạn rằng bạn cũng có thể tạo ra những bài toán khó tính hơn.
"See, normally in school, you do things like solve quadratic equations.","Thông thường trong trường học, bạn làm mấy thứ như giải phương trình bậc hai."
"But you see, when you're using a computer, you can just substitute.","Nhưng khi bạn dùng máy tính, bạn có thể chỉ cần thay thế."
"You can make it a quartic equation. Make it kind of harder, calculating-wise.","Thay bằng phương trình bậc bốn, làm cho việc tính toán khó hơn."
"Same principles applied -- calculations, harder.",Cùng theo một nguyên lý -- nhưng tính toán thì khó hơn.
And problems in the real world look nutty and horrible like this.,Và các bài toán ngoài đời đều điên rồ và kinh khủng như vậy.
They've got hair all over them.,Chúng mọc toàn là gai.
"They're not just simple, dumbed-down things that we see in school math.",Chúng đâu chỉ là các thứ quá đơn giản như là ta thấy ở môn toán trong trường.
And think of the outside world.,Và khi nghĩ đến thế giới bên ngoài.
Do we really believe that engineering and biology and all of these other things that have so benefited from computers and maths have somehow conceptually gotten reduced by using computers?,Chúng ta có thật sự tin rằng kĩ thuật và sinh học và mọi thứ khác những thứ đã hưởng lợi từ máy tính và toán học làm sao đó bị giản lược về mặt khái niệm bởi việc dùng máy tính?
I don't think so -- quite the opposite.,Tôi không nghĩ vậy đâu; ngược lại là khác.
"So the problem we've really got in math education is not that computers might dumb it down, but that we have dumbed-down problems right now.","Vậy thì vấn đề của ta trong việc dạy toán không phải là việc máy tính làm cho nó quá đơn giản, mà là chúng ta đang đơn giản hóa các bài toán."
"Well, another issue people bring up is somehow that hand calculating procedures teach understanding.","À, còn một vấn đề khác nảy sinh là theo cách nào đó các quy trình tính tay sẽ làm cho học sinh hiểu vấn đề."
"So if you go through lots of examples, you can get the answer, you can understand how the basics of the system work better.","Cho nên nếu bạn làm nhiều ví dụ, bạn có thể đạt được câu trả lời -- bạn có thể hiểu tốt hơn những vấn đề cơ bản của hệ thống."
"I think there is one thing that I think very valid here, which is that I think understanding procedures and processes is important.",Tôi nghĩ rằng có một thứ rất có căn cứ đó là việc hiểu được các quy trình và quá trình là quan trọng.
But there's a fantastic way to do that in the modern world.,Nhưng có một cách tuyệt vời để làm điều này trong thế giới hiện đại.
It's called programming.,Đó gọi là lập trình.
"Programming is how most procedures and processes get written down these days, and it's also a great way to engage students much more and to check they really understand.","Lập trình là cách hầu hết quy trình và quá trình được ghi lại ngày nay, và nó cũng là cách rất tốt để thu hút học sinh nhiều hơn và để kiểm tra xem chúng có thật sự hiểu không."
If you really want to check you understand math then write a program to do it.,Nếu bạn muốn kiểm tra xem bạn có hiểu toán thì hãy viết một chương trình để làm toán.
So programming is the way I think we should be doing that.,Thế thì lập trình là cách tôi nghĩ chúng ta nên làm.
"So to be clear, what I really am suggesting here is we have a unique opportunity to make maths both more practical and more conceptual, simultaneously.","Để cho rõ, cái mà tôi đề nghị ở đây là chúng ta có một cơ hội duy nhất để cùng lúc làm cho toán học vừa thực tế và mang tính khái niệm nhiều hơn."
I can't think of any other subject where that's recently been possible.,Tôi không nghĩ ra được bất kì môn học nào khác có thể làm được như vậy gần đây.
It's usually some kind of choice between the vocational and the intellectual.,Đó thường là sự lựa chọn giữa trở thành thợ hay thầy.
But I think we can do both at the same time here.,Nhưng tôi nghĩ ta có thể đạt được cả hai cùng lúc ở đây.
And we open up so many more possibilities.,Và nó cũng mở ra rất nhiều khả năng.
You can do so many more problems.,Bạn có thể làm rất nhiều bài toán.
What I really think we gain from this is students getting intuition and experience in far greater quantities than they've ever got before.,Cái mà tôi nghĩ chúng ta đạt được từ chuyện này là học sinh sẽ có được hiểu biết trực giác và kinh nghiệm nhiều hơn hẳn những gì chúng đã nhận được trước đây.
"And experience of harder problems -- being able to play with the math, interact with it, feel it.","Và kinh nghiệm đối với các vấn đề khó hơn -- được chơi với toán, tương tác với nó, cảm giác nó."
We want people who can feel the math instinctively.,Chúng ta muốn người ta có thể cảm giác toán học một cách bản năng.
That's what computers allow us to do.,Đó là thứ mà máy tính cho phép chúng ta làm.
Another thing it allows us to do is reorder the curriculum.,Một thứ khác nó cho phép chúng ta là thay đổi trật tự của chương trình học.
"Traditionally it's been by how difficult it is to calculate, but now we can reorder it by how difficult it is to understand the concepts, however hard the calculating.","Theo truyền thống thứ tự dựa theo độ khó của phép tính, nhưng giờ ta có thể thay đổi bằng độ khó để hiểu được các khái niệm, cho dù là việc tính toán có khó thế nào."
So calculus has traditionally been taught very late.,Giải tích thường được dạy rất trễ.
Why is this?,Tại sao vậy?
"Well, it's damn hard doing the calculations, that's the problem.","À, đó là vì thực hiện tính toán thì cực khó, đó chính là vấn đề."
But actually many of the concepts are amenable to a much younger age group.,Nhưng thật ra thì nhiều khái niệm có thể dạy được cho lứa tuổi nhỏ hơn nhiều.
This was an example I built for my daughter.,Đây là ví dụ tôi dành cho con gái mình.
"And very, very simple.",Và rất rất đơn giản.
We were talking about what happens when you increase the number of sides of a polygon to a very large number.,Chúng tôi đang nói về cái gì sẽ xảy ra khi bạn tăng số cạnh của một đa giác tới một số rất lớn.
"And of course, it turns into a circle.","Và đương nhiên, nó sẽ thành một vòng tròn."
"And by the way, she was also very insistent on being able to change the color, an important feature for this demonstration.","Bên cạnh đó, cháu cũng rất nhất quyết để có thể thay đổi màu sắc, một đặc trưng quan trọng của màn trình diễn này."
You can see that this is a very early step into limits and differential calculus and what happens when you take things to an extreme -- and very small sides and a very large number of sides.,Bạn có thể thấy rằng đó là bước đi rất sớm để tìm hiểu giới hạn và giải tích vi phân và những gì xảy ra khi bạn đẩy sự việc đi cực xa -- với các cạnh rất nhỏ và với thật nhiều cạnh.
Very simple example.,Một ví dụ rất đơn giản.
"That's a view of the world that we don't usually give people for many, many years after this.",Đó là cái nhìn về thế giới mà chúng ta thường không trao cho con người trong nhiều năm sau chuyện này.
"And yet, that's a really important practical view of the world.",Nhưng mà đó là cái nhìn thực tế quan trọng về thế giới.
So one of the roadblocks we have in moving this agenda forward is exams.,Còn một chướng ngại nữa để thúc đẩy chương trình là các bài kiểm tra.
"In the end, if we test everyone by hand in exams, it's kind of hard to get the curricula changed to a point where they can use computers during the semesters.","Nếu cuối cùng chúng ta kiểm tra mọi người bằng phép tính tay, rất khó mà thay đổi chương trình học tới điểm mà ta có thể dùng máy tính trong suốt học kì."
And one of the reasons it's so important -- so it's very important to get computers in exams.,Và một lý do điều này rất quan trọng -- có được máy tính trong kì kiểm tra thì rất quan trọng.
"And then we can ask questions, real questions, questions like, what's the best life insurance policy to get? -- real questions that people have in their everyday lives.","Và rồi chúng ta có thể đặt câu hỏi, những câu hỏi thực thụ, những câu như, chính sách bảo hiểm nhân thọ nào tốt nhất? -- những câu hỏi thật sự mà người ta phải đối mặt hằng ngày."
"And you see, this isn't some dumbed-down model here.","Và bạn thấy đó, đây đâu phải là mô hình đơn giản hóa."
This is an actual model where we can be asked to optimize what happens.,Đây là mô hình thật mà chúng ta phải tối ưu hóa những gì xảy ra.
How many years of protection do I need?,Tôi cần được bảo vệ trong bao nhiêu năm?
What does that do to the payments and to the interest rates and so forth?,"Cái đó ảnh hưởng thế nào đến khoản chi trả và tới lãi suất, ... và những thứ giống như vậy?"
"Now I'm not for one minute suggesting it's the only kind of question that should be asked in exams, but I think it's a very important type that right now just gets completely ignored and is critical for people's real understanding.","Bây giờ tôi không hề đề nghị rằng đó chỉ là loại câu hỏi nên được đặt trong bài thi, nhưng tôi nghĩ đó là loại câu hỏi rất quan trọng mà giờ đang bị lờ đi hoàn toàn và nó rất cần thiết cho sự hiểu biết thực tế của con người."
So I believe [there is] critical reform we have to do in computer-based math.,Vì thế tôi tin là có những cải tổ cấp thiết mà ta phải làm đối với toán học dựa trên máy tính.
"We have got to make sure that we can move our economies forward, and also our societies, based on the idea that people can really feel mathematics.","Chúng ta phải chắc chắn rằng chúng ta có thể thúc đẩy nền kinh tế, cùng với xã hội, dựa trên ý tưởng rằng người ta có thể thật sự cảm nhận toán học."
This isn't some optional extra.,Đây không phải phần phụ thêm cho tùy ý chọn.
"And the country that does this first will, in my view, leapfrog others in achieving a new economy even, an improved economy, an improved outlook.","Và đất nước nào có thể làm được điều này trước tiên sẽ nhảy vọt trước các nước khác, theo ý tôi để đạt được một nền kinh tế mới, thậm chí là một nền kinh tế được cải thiện hơn, một viễn cảnh mở mang."
"In fact, I even talk about us moving from what we often call now the ""knowledge economy"" to what we might call a ""computational knowledge economy,"" where high-level math is integral to what everyone does in the way that knowledge currently is.","Thật ra, tôi thậm chí còn nói về việc chúng ta tiến từ cái hay gọi là nền kinh tế tri thức sang cái chúng ta có thể gọi là nền kinh tế tri thức tính toán, nơi mà toán cấp cao được tích hợp vào mọi thứ người ta làm theo cách mà tri thức đang được tính hợp."
"We can engage so many more students with this, and they can have a better time doing it.","Ta có thể lôi kéo nhiều học sinh hơn làm cách này, và các em thấy vui vẻ để làm toán."
And let's understand: this is not an incremental sort of change.,"Và hãy hiểu rằng, đây không phải là thay đổi từ từ."
We're trying to cross the chasm here between school math and the real-world math.,Chúng ta đang cố vượt qua một vực thẳm ở đây giữa toán học trong nhà trường với toán học ngoài đời.
"And you know if you walk across a chasm, you end up making it worse than if you didn't start at all -- bigger disaster.","Và bạn biết rằng nếu bạn đi bộ qua một cái vực, bạn sẽ kết thúc ở chỗ còn tệ hơn là nếu bạn đừng đi ngay từ đầu -- sẽ là thảm họa lớn hơn."
"No, what I'm suggesting is that we should leap off, we should increase our velocity so it's high, and we should leap off one side and go the other -- of course, having calculated our differential equation very carefully.","Không, cái mà tôi đề nghị chúng ta phải phóng lên, chúng ta nên tăng tốc lên thật cao và ta nên phóng khỏi một bên vực và sang bên kia -- đương nhiên, sau khi đã tính các phương trình vi phân thật cẩn thận."
"(Laughter) So I want to see a completely renewed, changed math curriculum built from the ground up, based on computers being there, computers that are now ubiquitous almost.","(Cười) Thế nên tôi muốn thấy một chương trình học toán được thay đổi và làm mới hoàn toàn xây từ gốc, dựa trên máy tính những chiếc máy tính mà bây giờ hầu như có khắp nơi."
Calculating machines are everywhere and will be completely everywhere in a small number of years.,Các công cụ tính toán có ở khắp nơi và sẽ hoàn toàn ở mọi chỗ trong ít năm nữa.
"Now I'm not even sure if we should brand the subject as math, but what I am sure is it's the mainstream subject of the future.","Giờ thì tôi không có chắc ta có nên gọi môn học là toán không nữa, nhưng cái tôi chắc là nó sẽ là môn học chính của tương lai."
"Let's go for it, and while we're about it, let's have a bit of fun, for us, for the students and for TED here.","Hãy làm chuyện này. Và khi chúng ta sắp sửa làm, hay vui một chút vì chúng ta, vì học sinh và vì TED ở đây."
Thanks.,Cám ơn.
(Applause),(Vỗ tay)
"Delighted to be here and to talk to you about a subject dear to my heart, which is beauty.","Tôi rất vui được ở đây và nói với quý vị về môt chủ đề thân thuộc của tôi, đó là cái đẹp."
"I do the philosophy of art, aesthetics, actually, for a living.","Tôi nghiên cứu triết học về nghệ thuật, mỹ học, thực ra là vì kế sinh nhai"
"I try to figure out intellectually, philosophically, psychologically, what the experience of beauty is, what sensibly can be said about it and how people go off the rails in trying to understand it.","Tôi cố gắng tìm hiểu theo phương diện trí tuệ, một cách triết học, một cách tâm lý học, trải nghiệm về cái đẹp là gì, điều hợp lý nào có thể nói về nó và làm thế nào mọi người đi ra khỏi đường ray trong sự cố gắng để hiểu nó"
"Now this is an extremely complicated subject, in part because the things that we call beautiful are so different.",Đây là một đề tài cực kì phức tạp một phần bởi vì những điều ta gọi là đẹp khá là khác nhau.
"I mean just think of the sheer variety -- a baby's face, Berlioz's ""Harold in Italy,"" movies like ""The Wizard of Oz"" or the plays of Chekhov, a central California landscape, a Hokusai view of Mt. Fuji, ""Der Rosenkavalier,"" a stunning match-winning goal in a World Cup soccer match, Van Gogh's ""Starry Night,"" a Jane Austen novel, Fred Astaire dancing across the screen.","Ý tôi là hãy nghĩ về các vẻ hoàn toàn khác nhau gương mặt một em bé, bản nhạc ""Harold in Italy"" của Berlioz, những bộ phim kiểu như ""The Wizard of Oz"", hay các vở kịch của Chekhov, một cảnh đẹp trung tâm California, một bức tranh núi Phú Sĩ của Hokusai, ""Der Rosenkavalier"", một bàn thắng ghi bàn tuyệt vời ở một trận bóng đá World Cup, Bức ""Starry Night"" của Van Gogh, một cuốn tiểu thuyết của Jane Austen, Fred Astaire đang khiểu vũ trên màn ảnh."
"This brief list includes human beings, natural landforms, works of art and skilled human actions.","Danh sách ngắn gọn này bao gồm những con người, tạo vật thiên nhiên, tác phẩm nghệ thuật và hoạt động điêu luyện"
An account that explains the presence of beauty in everything on this list is not going to be easy.,Để giải thích cho sự hiện diện của cái đẹp của mọi thứ trong danh sách này thật không dễ.
"I can, however, give you at least a taste of what I regard as the most powerful theory of beauty we yet have.",Tuy nhiên ít nhất tôi có thể cho các bạn thưởng thức điều mà tôi nhận thấy coi như là giả thuyết thuyết phục nhất chúng tôi đang có về cái đẹp
"And we get it not from a philosopher of art, not from a postmodern art theorist or a bigwig art critic.",Chúng tôi có được giả thuyết này không phải từ một chuyên gia nghệ thuật không phải từ một nhà học giả về nghệ thuật hậu hiện đại hay từ một nhà phê bình nghệ thuật tầm cỡ
"No, this theory comes from an expert on barnacles and worms and pigeon breeding, and you know who I mean: Charles Darwin.","Không, giả thuyết này đến từ một chuyên gia về nhân giống chim bồ câu, giun và hàu Các bạn biết người tôi nhắc tới Charles Darwin."
"Of course, a lot of people think they already know the proper answer to the question, ""What is beauty?""",Tất nhiên nhiều nhiều người nghĩ họ đã biết câu trả lời chính xác cho câu hỏi cái đẹp là gì
It's in the eye of the beholder.,Nó nằm trong mắt người nhìn
It's whatever moves you personally.,Nó là bất cứ điều gì tác động riêng với mỗi người
"Or, as some people, especially academics prefer, beauty is in the culturally conditioned eye of the beholder.","Hoặc, như vài người -- đặc biệt những người trong ngành giáo dục -- cho rằng cái đẹp nằm ở mắt người nhìn phụ thuộc vào văn hóa"
People agree that paintings or movies or music are beautiful because their cultures determine a uniformity of aesthetic taste.,Có những người đồng ý rằng các tranh vẽ hay bộ phim hay nhạc đều đẹp bởi vì nền văn hóa quyết định thị hiếu thẩm mỹ
